Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_25_48,VGND,li1,29.4400,81.6000,0.000057
FILLER_25_36,VGND,li1,24.8400,81.6000,0.000046
FILLER_25_14,VGND,li1,12.4200,81.6000,0.000059
FILLER_25_3,VGND,li1,7.8200,81.6000,0.000060
FILLER_24_161,VGND,li1,80.0400,76.1600,0.000399
FILLER_24_138,VGND,li1,69.4600,76.1600,0.000383
FILLER_24_117,VGND,li1,60.2600,76.1600,0.000354
FILLER_24_105,VGND,li1,56.5800,76.1600,0.000337
FILLER_24_93,VGND,li1,48.7600,76.1600,0.000297
FILLER_24_85,VGND,li1,46.4600,76.1600,0.000287
FILLER_24_83,VGND,li1,43.9300,76.1600,0.000273
FILLER_24_75,VGND,li1,41.8600,76.1600,0.000260
FILLER_24_54,VGND,li1,30.5900,76.1600,0.000171
FILLER_24_48,VGND,li1,28.9800,76.1600,0.000148
FILLER_24_41,VGND,li1,25.0700,76.1600,0.000119
FILLER_24_29,VGND,li1,21.6200,76.1600,0.000126
FILLER_24_27,VGND,li1,18.1700,76.1600,0.000132
FILLER_24_23,VGND,li1,17.0200,76.1600,0.000132
FILLER_23_181,VGND,li1,89.2400,76.1600,0.000403
FILLER_23_169,VGND,li1,86.0200,76.1600,0.000403
FILLER_23_164,VGND,li1,81.8800,76.1600,0.000401
FILLER_23_152,VGND,li1,78.2000,76.1600,0.000398
FILLER_23_144,VGND,li1,72.2200,76.1600,0.000390
FILLER_23_136,VGND,li1,69.9200,76.1600,0.000383
FILLER_23_110,VGND,li1,56.5800,76.1600,0.000337
FILLER_23_23,VGND,li1,16.5600,76.1600,0.000132
FILLER_23_15,VGND,li1,14.2600,76.1600,0.000135
FILLER_23_3,VGND,li1,9.6600,76.1600,0.000138
FILLER_22_182,VGND,li1,89.4700,70.7200,0.000752
FILLER_22_176,VGND,li1,87.8600,70.7200,0.000752
FILLER_22_145,VGND,li1,72.4500,70.7200,0.000724
FILLER_22_141,VGND,li1,71.3000,70.7200,0.000724
FILLER_22_139,VGND,li1,69.6900,70.7200,0.000712
FILLER_22_135,VGND,li1,68.5400,70.7200,0.000712
FILLER_22_108,VGND,li1,55.8900,70.7200,0.000609
FILLER_22_100,VGND,li1,53.3600,70.7200,0.000591
FILLER_22_85,VGND,li1,47.3800,70.7200,0.000533
FILLER_22_63,VGND,li1,34.7300,70.7200,0.000345
FILLER_22_59,VGND,li1,33.5800,70.7200,0.000345
FILLER_22_37,VGND,li1,23.0000,70.7200,0.000214
FILLER_22_29,VGND,li1,20.7000,70.7200,0.000218
FILLER_22_27,VGND,li1,18.1700,70.7200,0.000224
FILLER_22_23,VGND,li1,17.0200,70.7200,0.000224
FILLER_22_15,VGND,li1,13.3400,70.7200,0.000228
FILLER_22_3,VGND,li1,9.6600,70.7200,0.000229
FILLER_21_182,VGND,li1,89.4700,70.7200,0.000752
FILLER_21_176,VGND,li1,87.8600,70.7200,0.000752
FILLER_21_166,VGND,li1,82.3400,70.7200,0.000752
FILLER_21_152,VGND,li1,76.8200,70.7200,0.000750
FILLER_21_128,VGND,li1,65.3200,70.7200,0.000694
FILLER_21_119,VGND,li1,60.4900,70.7200,0.000660
FILLER_21_113,VGND,li1,58.8800,70.7200,0.000629
FILLER_21_111,VGND,li1,56.8100,70.7200,0.000609
FILLER_21_105,VGND,li1,55.2000,70.7200,0.000609
FILLER_21_93,VGND,li1,51.0600,70.7200,0.000567
FILLER_21_72,VGND,li1,38.8700,70.7200,0.000406
FILLER_21_66,VGND,li1,37.2600,70.7200,0.000406
FILLER_21_55,VGND,li1,31.0500,70.7200,0.000313
FILLER_21_49,VGND,li1,29.4400,70.7200,0.000268
FILLER_21_42,VGND,li1,25.0700,70.7200,0.000211
FILLER_21_30,VGND,li1,22.0800,70.7200,0.000218
FILLER_20_182,VGND,li1,89.4700,65.2800,0.000210
FILLER_20_178,VGND,li1,88.3200,65.2800,0.000210
FILLER_20_166,VGND,li1,84.6400,65.2800,0.000210
FILLER_20_162,VGND,li1,80.2700,65.2800,0.000210
FILLER_20_141,VGND,li1,70.6100,65.2800,0.000205
FILLER_20_132,VGND,li1,68.0800,65.2800,0.000203
FILLER_20_114,VGND,li1,58.1900,65.2800,0.000188
FILLER_20_106,VGND,li1,56.1200,65.2800,0.000184
FILLER_20_85,VGND,li1,44.8500,65.2800,0.000158
FILLER_20_72,VGND,li1,41.4000,65.2800,0.000149
FILLER_20_59,VGND,li1,33.1200,65.2800,0.000112
FILLER_20_37,VGND,li1,23.0000,65.2800,0.000074
FILLER_20_29,VGND,li1,20.7000,65.2800,0.000078
FILLER_20_26,VGND,li1,17.9400,65.2800,0.000081
FILLER_20_3,VGND,li1,8.2800,65.2800,0.000083
FILLER_19_181,VGND,li1,89.2400,65.2800,0.000210
FILLER_19_169,VGND,li1,86.0200,65.2800,0.000210
FILLER_19_167,VGND,li1,82.5700,65.2800,0.000210
FILLER_19_163,VGND,li1,81.4200,65.2800,0.000210
FILLER_19_151,VGND,li1,77.7400,65.2800,0.000210
FILLER_19_139,VGND,li1,72.2200,65.2800,0.000207
FILLER_19_127,VGND,li1,66.7000,65.2800,0.000203
FILLER_19_113,VGND,li1,58.1900,65.2800,0.000188
FILLER_19_111,VGND,li1,56.8100,65.2800,0.000188
FILLER_19_103,VGND,li1,54.7400,65.2800,0.000184
FILLER_19_91,VGND,li1,50.1400,65.2800,0.000175
FILLER_19_65,VGND,li1,36.8000,65.2800,0.000122
FILLER_19_53,VGND,li1,30.5900,65.2800,0.000099
