net,length_um
dsa\[16\]._1_,6.72µm
dsa\[25\].last_carry,6.72µm
dsa\[22\]._0_,6.6µm
dsa\[24\]._0_,6.6µm
dsa\[13\]._0_,6.52µm
dsa\[5\]._0_,6.52µm
net11,6.42µm
dsa\[9\]._0_,6.4µm
dsa\[28\]._0_,6.38µm
dsa\[9\].last_carry,6.36µm
dsa\[20\]._1_,6.32µm
dsa\[11\].last_carry_next,6.26µm
dsa\[17\]._1_,6.2µm
dsa\[14\]._0_,6.14µm
dsa\[13\]._1_,6.06µm
dsa\[1\]._0_,6.04µm
dsa\[19\]._1_,5.94µm
net37,5.9µm
dsa\[23\]._0_,5.84µm
dsa\[30\]._1_,5.82µm
dsa\[0\]._2_,5.8µm
dsa\[5\].y_out_next,5.8µm
dsa\[14\]._1_,5.68µm
dsa\[19\]._0_,5.68µm
dsa\[4\]._0_,5.68µm
dsa\[13\].last_carry,5.6µm
dsa\[15\]._1_,5.6µm
dsa\[7\]._1_,5.6µm
dsa\[9\]._1_,5.6µm
dsa\[10\]._0_,5.38µm
dsa\[11\].last_carry,5.38µm
dsa\[14\]._2_,5.38µm
dsa\[21\]._2_,5.38µm
dsa\[2\]._2_,5.38µm
y,5.29µm
dsa\[31\]._0_,5.22µm
dsa\[18\].last_carry,5.14µm
dsa\[31\].last_carry,5.14µm
dsa\[4\].last_carry,5.14µm
dsa\[23\].y_out_next,5.04µm
dsa\[12\].last_carry,5.02µm
dsa\[12\].last_carry_next,4.92µm
dsa\[13\].last_carry_next,4.92µm
dsa\[15\]._2_,4.92µm
dsa\[28\].last_carry_next,4.92µm
dsa\[21\].last_carry,4.88µm
dsa\[24\].last_carry_next,4.58µm
dsa\[7\].last_carry,4.56µm
dsa\[10\]._1_,4.46µm
dsa\[16\]._0_,4.46µm
dsa\[24\]._2_,4.46µm
dsa\[25\].last_carry_next,4.46µm
dsa\[29\].last_carry,4.44µm
dsa\[17\].y_out_next,4.42µm
dsa\[5\]._2_,4.42µm
dsa\[13\]._2_,4.34µm
dsa\[8\]._2_,4.34µm
dsa\[1\].last_carry_next,4.12µm
dsa\[0\].last_carry_next,4µm
dsa\[25\]._0_,4µm
dsa\[31\].last_carry_next,4µm
dsa\[4\].last_carry_next,4µm
dsa\[6\].last_carry_next,4µm
dsa\[7\].last_carry_next,4µm
dsa\[0\].last_carry,3.9µm
dsa\[4\].y_out_next,3.88µm
dsa\[15\]._0_,3.54µm
dsa\[1\].y_out_next,3.54µm
dsa\[29\]._0_,3.54µm
dsa\[26\]._0_,3.44µm
dsa\[16\]._2_,3.42µm
dsa\[24\].last_carry,3.42µm
dsa\[31\]._2_,3.42µm
dsa\[10\].y_out_next,3.225µm
dsa\[20\].y_out_next,3.2µm
dsa\[25\].y_out_next,3.2µm
dsa\[12\]._2_,3.08µm
dsa\[27\].last_carry_next,3.08µm
dsa\[30\]._2_,2.76µm
dsa\[13\].y_out_next,2.62µm
dsa\[17\]._2_,2.62µm
dsa\[25\]._2_,2.62µm
dsa\[26\].last_carry_next,2.62µm
dsa\[26\].y_out_next,2.62µm
dsa\[6\].y_out_next,2.62µm
net36,2.5µm
